rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Xkr4,1,0,0,0,0,0,0,21
Sox17,462,100,375,11,96,295,316,132
Mrpl15,8465,6491,9124,2349,8723,11363,7737,6055
Lypla1,737,560,735,1209,831,835,965,796
Tcea1,809,456,712,547,485,554,591,572
Rgs20,0,0,0,15,0,0,0,0
Atp6v1h,1847,1016,1568,1078,2157,2269,1378,916
Rb1cc1,1881,1380,1489,1419,884,1025,1405,853
Fam150a,0,0,0,0,0,0,0,0
St18,36,38,4,68,51,12,41,53
Pcmtd1,1274,780,755,3348,1971,1181,1727,1334
Sntg1,1,0,0,0,0,0,0,1
Rrs1,475,355,447,316,356,243,413,192
Mybl1,10,8,1,26,57,8,24,21
Vcpip1,470,169,243,435,278,356,231,304
1700034P13Rik,30,12,9,56,14,17,10,8
Sgk3,511,306,320,383,218,477,469,146
Mcmdc2,14,19,58,51,40,55,8,47
Snhg6,68,70,38,373,69,21,26,48
Tcf24,86,54,34,84,66,217,74,42
Ppp1r42,0,0,0,0,0,0,0,9
Cops5,5158,4670,6650,3766,6597,10434,6413,5060
Cspp1,835,288,300,417,304,426,416,273
Arfgef1,593,661,536,1081,753,549,795,642
Cpa6,0,0,0,0,0,0,0,0
Prex2,2,4,10,0,5,34,37,1
A830018L16Rik,50,32,38,6,88,18,82,63
Sulf1,39,0,37,37,39,85,8,18
Slco5a1,1,0,11,1,0,15,0,0
Prdm14,109,150,53,95,120,154,127,210
Ncoa2,227,365,311,472,201,316,416,326
Tram1,922,541,796,1081,614,830,771,608
Lactb2,930,588,1044,1123,877,1020,995,622
Xkr9,0,0,0,0,0,9,0,0
Eya1,101,12,17,69,84,43,23,96
Msc,102,70,386,586,361,265,626,404
Trpa1,76,0,29,2,0,1,1,0
Kcnb2,0,0,0,0,0,0,0,0
Terf1,1031,987,1164,650,1333,1126,736,662
Sbspon,62,23,97,2,37,32,31,20
4930444P10Rik,65,25,15,135,144,24,52,78
Rpl7,8808,7087,9104,2783,6931,9355,7394,4789
Rdh10,137,111,142,339,304,160,180,350
Stau2,77,76,101,172,200,163,157,57
Ube2w,234,202,261,434,414,273,242,231
Tceb1,6147,6353,9527,10433,10231,11302,9587,7241
Tmem70,1181,948,1709,1076,1956,1699,1546,1605
Ly96,32,50,56,149,132,62,97,43
Jph1,54,65,59,51,15,10,121,3
Gdap1,0,1,0,0,0,0,0,0
Pkhd1,92,1,13,1,0,4,25,30
Mcm3,1565,845,1333,955,1856,1279,1249,985
Paqr8,57,8,4,9,0,19,13,0
Tram2,21,0,24,16,18,39,56,19
Tmem14a,87,36,28,0,37,116,26,52
Gsta3,34,38,68,3,18,54,62,60
Gm4956,0,43,12,15,80,104,107,128
Khdc1a,283,334,234,384,369,269,296,482
Kcnq5,0,2,1,0,0,15,0,0
Rims1,0,0,0,0,0,1,0,0
Ogfrl1,133,86,48,354,190,51,200,60
B3gat2,11,17,12,24,6,1,43,10
Smap1,1943,1381,1580,821,1254,1450,1714,1023
Sdhaf4,464,511,451,646,382,605,459,326
Fam135a,176,121,63,188,208,128,54,63
Col19a1,0,0,1,1,0,1,1,0
Lmbrd1,350,136,157,311,478,280,252,185
Phf3,1599,1008,1089,1334,1126,707,1195,787
Ptp4a1,91,77,31,58,25,94,58,55
4931428L18Rik,36,3,0,0,0,0,0,0
Prim2,436,340,535,265,762,894,541,655
Rab23,242,71,124,195,182,73,96,51
Bag2,73,80,67,21,231,270,219,40
Zfp451,657,436,288,695,377,266,440,351
Gm15455,59,65,47,116,165,40,91,60
Bend6,0,1,0,0,0,8,0,0
Dst,772,527,664,933,691,717,988,657
Ccdc115,737,784,1027,552,1289,1053,1023,570
Imp4,2957,2409,4179,1055,4371,8000,4822,3700
Ptpn18,874,223,696,1,361,933,439,321
Cfc1,165,194,289,120,194,344,195,327
Prss40,0,0,14,1,1,0,3,5
Arhgef4,43,30,112,53,201,41,101,129
Fam168b,1609,1225,1013,801,785,679,1132,618
Hs6st1,734,787,872,888,963,613,992,619
Uggt1,1068,780,922,1179,988,726,1109,691
Neurl3,0,0,1,6,41,0,14,0
Arid5a,180,407,621,0,3,289,201,348
Kansl3,817,828,685,633,722,791,954,710
Fer1l5,40,3,38,79,71,64,17,14
Lman2l,259,430,356,87,181,399,169,176
Cnnm4,481,423,421,449,998,605,591,691
Cnnm3,445,388,293,243,199,195,428,262
Ankrd23,44,17,40,0,28,23,97,53
Ankrd39,80,142,221,30,171,233,186,110
Fam178b,180,111,101,8,316,210,86,143
Cox5b,8990,6615,6083,2850,7149,7344,5400,5708
Actr1b,682,588,1111,395,803,1414,678,1166
Zap70,34,9,40,0,72,64,97,0
Tmem131,1449,941,948,923,1476,1062,821,773
Inpp4a,116,52,38,171,64,69,77,89
Coa5,2739,1796,2431,1887,2400,2689,2379,1549
2010300C02Rik,193,281,317,57,319,277,193,273
Rev1,646,314,348,985,494,391,315,192
Chst10,0,0,0,0,0,0,0,0
Pdcl3,668,649,1173,323,1134,985,742,547
Npas2,19,10,4,18,11,11,21,25
Tbc1d8,200,227,192,260,244,347,120,252
Cnot11,228,154,205,569,237,177,215,152
Rnf149,1312,838,887,2151,1587,681,1571,896
Rfx8,16,0,0,0,0,10,0,0
Map4k4,785,599,731,366,507,752,756,309
Il1r1,0,8,6,0,4,0,5,14
Mfsd9,0,22,23,4,71,77,30,15
Mrps9,1465,1046,1449,830,1097,1585,808,885
Tgfbrap1,209,128,187,436,209,124,196,174
AI597479,332,175,214,315,279,227,215,222
Fhl2,1155,1586,993,335,643,1384,383,155
Nck2,84,69,63,59,88,83,37,45
1500015O10Rik,2,1,0,0,0,0,6,1
Uxs1,176,132,118,133,96,187,205,77
Tpp2,768,727,547,1627,736,459,726,566
Tex30,869,722,916,358,507,1424,823,607
Kdelc1,38,34,18,70,42,48,33,43
Bivm,19,8,5,1,0,16,14,18
Ercc5,228,264,130,316,159,149,103,64
Gulp1,134,113,6,419,154,196,98,116
4930521E06Rik,1,3,0,41,1,0,0,0
Col5a2,12,4,0,72,1,4,0,0
Wdr75,800,432,695,1003,612,766,545,441
Slc40a1,79,62,2,0,2,14,1,2
Dnah7b,14,5,20,15,7,35,1,0
Slc39a10,575,225,289,563,255,379,433,262
Nabp1,139,166,216,488,802,403,450,652
Myo1b,1104,752,1183,1181,1319,683,1382,583
Stat1,150,78,54,122,1,32,85,17
Gls,589,470,459,1461,266,477,585,301
Nab1,127,122,126,104,143,169,121,63
Tmem194b,43,38,18,33,0,13,0,6
Inpp1,3,17,184,62,210,102,54,112
Hibch,370,228,340,424,514,585,665,634
1700019D03Rik,277,225,328,369,355,385,627,349
1700019A02Rik,21,22,3,1,21,7,2,10
Pms1,409,231,247,717,253,218,343,264
Ormdl1,168,216,230,219,209,485,303,200
Osgepl1,421,302,349,239,551,528,524,295
Asnsd1,1516,1468,1468,1679,1854,1999,1375,913
Stk17b,112,91,144,323,162,149,131,167
Hecw2,5,5,18,9,24,0,64,13
Ccdc150,21,20,60,144,43,71,64,20
Gtf3c3,965,485,558,668,585,459,463,351
Pgap1,186,103,62,425,38,66,162,106
Ankrd44,52,75,105,168,227,81,80,59
Sf3b1,8794,6629,9010,8083,7481,8595,6346,5646
Coq10b,23,39,150,123,242,282,170,127
Hspd1,2658,1907,2896,1416,2661,3053,2018,1700
Hspe1,8733,5284,5946,4321,6656,6481,5494,4311
Mob4,1333,841,1350,1141,1176,2779,1532,1028
Rftn2,56,31,26,55,82,23,6,76
Mars2,295,193,214,298,176,233,238,157
Plcl1,0,0,0,0,0,0,0,0
Satb2,1239,700,648,762,873,534,549,407
9130024F11Rik,179,227,167,162,174,121,109,55
4930558J18Rik,40,87,138,25,38,11,26,97
1700066M21Rik,21,32,16,143,32,34,41,6
Tyw5,505,390,526,374,433,749,430,487
9430016H08Rik,527,379,569,147,470,909,465,398
Spats2l,9,14,0,9,0,3,18,0
Kctd18,71,89,190,413,83,33,69,81
Sgol2a,722,755,1007,903,871,846,639,1025
Aox1,22,0,3,15,43,0,0,4
Aox2,11,3,3,41,13,9,4,5
Bzw1,2951,1943,2580,2918,3495,3250,3641,2068
Clk1,1563,1387,1588,2362,1244,1623,899,597
Ppil3,601,585,708,552,605,431,596,354
Nif3l1,1308,768,1154,777,1221,1134,1027,585
Orc2,807,494,603,601,879,748,661,558
