domain,1CSE_G1,2CSE_G1,4CSE_G1,8CSE_G1,64CSE_G1,1CSE_G2,2CSE_G2,4CSE_G2,8CSE_G2,64CSE_G2,id,cluster,genes,DnaBinding,DnaBinding_each
chr1_35720000_36760000,-0.167095192,-0.26737956,-0.053519962,-0.122934054,0.462584975,0.365537205,-0.270725603,-0.065005931,0.26222379,0.311031651,46,9,Gm25634; Gm28415; 1110002O04Rik; Gm8022; Gm37146; Gm33222; 4930535G08Rik; Gm38049; Hs6st1; Gm37335; Gm33280; Uggt1; Mir6897; Neurl3; Arid5a; 4930403P22Rik; Kansl3; Mir6898; Fer1l5; Lman2l; Cnnm4; Gm37909; Gm47280; Cnnm3; Gm38033; Ankrd23; Gm42417; Ankrd39; Sema4c; D430040D24Rik; Fam178b; Gm6428; Gm24133; Cox5b; Actr1b; 4933424G06Rik; Gm33533,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_60080000_61000000,-0.021882503,-0.127263423,0.086387792,0.078208513,0.320760546,0.039560838,0.091884714,0.212077891,0.456675019,0.321755481,94,9,Wdr12; Carf; Gm15464; Nbeal1; Gm29332; Cyp20a1; 6030460B20Rik; Abi2; Raph1; Gm11575; Gm11576; Gm11578; Gm38388; Gm23762; Gm11577; Eif4a-ps4; Cd28; Gm11579; 2310016D23Rik; Gm37198; Gm11609; Gm11581; Gm38137; Ctla4; Rpl18-ps1; Gm11582; Icos; Gm37039,1,FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_73880000_74520000,0.160427319,-0.250020477,-0.080083268,-0.081334402,0.689191062,0.187718811,-0.308437986,0.122773586,0.103367154,0.403466041,123,9,Tns1; Rufy4; Cxcr2; Cxcr1; Mir1928; Gm25524; Arpc2; Gpbar1; Aamp; Gm28364; Pnkd; Gm37503; Tmbim1; Gm29358; Gm37931; Catip; Slc11a1; Ctdsp1; Mir26b; Vil1; Usp37; Gm37733; Cnot9,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_75120000_75600000,-0.0041854,-0.326179711,-0.033584626,0.123235381,0.589644184,0.162508369,-0.419969286,-0.043229051,0.125407453,0.727564507,124,9,Nhej1; Slc23a3; Cnppd1; Retreg2; Zfand2b; Abcb6; Gm29253; Atg9a; Ankzf1; Glb1l; Gm27943; Stk16; Tuba4a; A630095N17Rik; Dnajb2; Ptprn; Gm28294; Resp18; Gm28902; Dnpep; Des; Gm15179; Speg; Gm15178; Gmppa; Asic4; Gm37264; Chpf; Obsl1; Tmem198; Inha; Gm15181; Stk11ip; Gm15183; Slc4a3; Gm15180,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_86600000_87120000,-0.281265951,-0.316524774,0.182750896,0.486334889,0.108617559,-0.139676187,-0.368924935,0.100526628,0.630010486,0.303518697,139,9,Cops7b; Gm22955; Gm37022; Nppc; Dis3l2; Gm29097; Gm29055; Gm37485; Gm38142; Gm38010; Gm37541; Gm38021; Gm6136; Gm37967; Gm28375; Gm37017; Gm37447; Akp-ps1; Gm29371; Alppl2; Alpi; Gm29372,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_87160000_87800000,-0.102328284,-0.334169178,-0.278378418,-0.124012712,0.137420254,-0.150179754,-0.164350299,0.16274664,0.520194624,0.375692593,140,9,Prss56; Chrnd; Chrng; Eif4e2; Gm26187; Efhd1; Efhd1os; Gigyf2; Gm22549; Kcnj13; Gm23504; 3110079O15Rik; Ngef; Neu2; Gm17181; Gm6153; Inpp5d; Atg16l1; Gm25395; Scarna6,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_133120000_134640000,-0.002570907,-0.208902205,0.04676379,0.101490388,0.152809177,0.006527139,-0.187109032,0.121832964,0.212400643,0.305662687,242,9,Gm26616; Ppp1r15b; Plekha6; Gm19461; Golt1a; Gm28040; Kiss1; Kiss1; Ren1; Etnk2; Sox13; Gm8596; Gm23939; Snrpe; Gm26706; Zc3h11a; Zc3h11a; Gm38394; Zbed6; Lax1; Atp2b4; Mir6903; Gm37368; Gm10537; Gm28441; Optc; Gm15851; Prelp; Gm1627; Gm18970; Fmod; Btg2; Gm38140; Gm8618; Chit1; Chil1; Mybph; Adora1; Gm24517; Myog; Ppfia4; Tmem183a; 4933406M09Rik; Cyb5r1; Adipor1; Platr1; Gm37935; Klhl12; Rabif; Gm25612; Gm15454; Gm29376; Mgat4e; Kdm5b,5,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE
chr1_134040000_134640000,-0.377661813,-0.627431627,-0.328300065,-0.06205921,0.406878782,0.096063948,-0.462506529,-0.091261158,0.112037001,0.78737639,246,9,Fmod; Btg2; Gm38140; Gm8618; Chit1; Chil1; Mybph; Adora1; Gm24517; Myog; Ppfia4; Tmem183a; 4933406M09Rik; Cyb5r1; Adipor1; Platr1; Gm37935; Klhl12; Rabif; Gm25612; Gm15454; Gm29376; Mgat4e; Kdm5b,2,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE
chr1_135000000_135840000,0.016004077,-0.155939873,0.024426351,0.375064382,0.511244325,0.139206326,-0.225150931,0.336133814,0.403537575,0.895479356,249,9,Lgr6; Ptprv; Gm10535; Ptpn7; Arl8a; Gm26280; Gm15445; Gpr37l1; Gm4204; Gm26642; Elf3; Rnpep; Timm17a; Lmod1; Gm22796; Shisa4; Ipo9; Gm28277; Nav1; Mir1231; 2610012C04Rik; Gm37333; Gm4793; Gm38399; Csrp1; Phlda3; Tnni1; Lad1; Tnnt2,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_136520000_137240000,-0.01494218,-0.383264638,-0.263120057,-0.090228529,0.91343959,-0.012498365,-0.447993284,-0.113508784,-0.078024272,0.771839509,254,9,Kif14; Gm29485; Gm37799; Gm33994; 4933409D19Rik; Platr23; Zfp281; Gm19705; Platr22; Gm24086; Gm22132; Gm8762; Gm29718; Gm17781; Nr5a2; Gm23763; Gm25609,2,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE
